,Inns,Score,Opposition,FoW,MatchID,Prev1,Prev2,Prev3
0,1,54,Sri Lanka,-  ,/ci/engine/match/366341.html,25,37,12
1,2,31,Sri Lanka,-  ,/ci/engine/match/343736.html,54,25,37
2,1,2,Sri Lanka,5/302 (48.3)  ,/ci/engine/match/403383.html,31,54,25
3,2,16,Pakistan,2/90 (13.5)  ,/ci/engine/match/415278.html,2,31,54
4,2,79,West Indies,2/12 (3.2)  ,/ci/engine/match/415284.html,16,2,31
5,2,30,Australia,2/45 (8.1)  ,/ci/engine/match/416236.html,79,16,2
6,2,10,Australia,1/40 (6.5)  ,/ci/engine/match/416239.html,30,79,16
7,1,27,Sri Lanka,5/347 (42.1)  ,/ci/engine/match/430886.html,10,30,79
8,1,54,Sri Lanka,2/19 (4.1)  ,/ci/engine/match/430887.html,27,10,30
9,2,107,Sri Lanka,2/23 (3.4)  ,/ci/engine/match/430889.html,54,27,10
10,1,9,Sri Lanka,1/14 (2.6)  ,/ci/engine/match/434259.html,107,54,27
11,2,91,Bangladesh,1/28 (3.1)  ,/ci/engine/match/434260.html,9,107,54
12,2,71,Sri Lanka,1/89 (11.3)  ,/ci/engine/match/434262.html,91,9,107
13,2,102,Bangladesh,1/64 (11.5)  ,/ci/engine/match/434263.html,71,91,9
14,1,2,Sri Lanka,1/1 (0.3)  ,/ci/engine/match/434264.html,102,71,91
15,1,31,South Africa,3/116 (18.2)  ,/ci/engine/match/441827.html,2,102,71
16,2,57,South Africa,1/22 (2.6)  ,/ci/engine/match/441829.html,31,2,102
17,1,0,Zimbabwe,1/56 (8.6)  ,/ci/engine/match/452146.html,57,31,2
18,2,82,Sri Lanka,1/28 (6.4)  ,/ci/engine/match/452147.html,0,57,31
19,1,18,Zimbabwe,1/58 (16.1)  ,/ci/engine/match/452149.html,82,0,57
20,1,68,Sri Lanka,1/7 (2.6)  ,/ci/engine/match/452150.html,18,82,0
21,2,11,Bangladesh,1/37 (6.1)  ,/ci/engine/match/455232.html,68,18,82
22,2,18,Pakistan,1/47 (10.2)  ,/ci/engine/match/455234.html,11,68,18
23,1,10,Sri Lanka,1/58 (11.2)  ,/ci/engine/match/455236.html,18,11,68
24,1,28,Sri Lanka,1/38 (6.1)  ,/ci/engine/match/455237.html,10,18,11
25,2,0,Sri Lanka,1/30 (8.5)  ,/ci/engine/match/456663.html,28,10,18
26,1,8,New Zealand,1/0 (0.3)  ,/ci/engine/match/456665.html,0,28,10
27,2,37,Sri Lanka,1/9 (0.6)  ,/ci/engine/match/456668.html,8,0,28
28,2,118,Australia,1/0 (0.2)  ,/ci/engine/match/464529.html,37,8,0
29,1,105,New Zealand,1/44 (7.1)  ,/ci/engine/match/467883.html,118,37,8
30,2,64,New Zealand,1/87 (17.4)  ,/ci/engine/match/467884.html,105,118,37
31,2,63,New Zealand,1/115 (18.4)  ,/ci/engine/match/467885.html,64,105,118
32,2,0,New Zealand,1/67 (9.4)  ,/ci/engine/match/467886.html,63,64,105
33,2,2,New Zealand,1/0 (0.3)  ,/ci/engine/match/467887.html,0,63,64
34,2,54,South Africa,1/3 (0.4)  ,/ci/engine/match/463150.html,2,0,63
35,1,22,South Africa,1/21 (7.6)  ,/ci/engine/match/463151.html,54,2,0
36,2,28,South Africa,1/4 (2.2)  ,/ci/engine/match/463152.html,22,54,2
37,2,87,South Africa,1/1 (1.3)  ,/ci/engine/match/463153.html,28,22,54
38,2,2,South Africa,1/21 (3.6)  ,/ci/engine/match/463154.html,87,28,22
39,1,100,Bangladesh,2/152 (23.2)  ,/ci/engine/match/433558.html,2,87,28
40,1,8,England,5/305 (46.1)  ,/ci/engine/match/433568.html,100,2,87
41,2,34,Ireland,2/24 (5.2)  ,/ci/engine/match/433578.html,8,100,2
42,2,12,Netherlands,3/82 (9.5)  ,/ci/engine/match/433582.html,34,8,100
43,1,1,South Africa,5/283 (42.6)  ,/ci/engine/match/433586.html,12,34,8
44,1,59,West Indies,1/8 (0.6)  ,/ci/engine/match/433599.html,1,12,34
45,2,24,Australia,2/94 (18.1)  ,/ci/engine/match/433601.html,59,1,12
46,1,9,Pakistan,2/116 (18.5)  ,/ci/engine/match/433605.html,24,59,1
47,2,35,Sri Lanka,2/31 (6.1)  ,/ci/engine/match/433606.html,9,24,59
48,2,2,West Indies,1/29 (5.2)  ,/ci/engine/match/489221.html,35,9,24
49,2,81,West Indies,1/8 (2.1)  ,/ci/engine/match/489222.html,2,35,9
50,2,0,West Indies,1/26 (7.3)  ,/ci/engine/match/489223.html,81,2,35
51,2,22,West Indies,1/20 (5.4)  ,/ci/engine/match/489224.html,0,81,2
52,1,94,West Indies,1/15 (3.4)  ,/ci/engine/match/489225.html,22,0,81
53,1,55,England,2/87 (17.4)  ,/ci/engine/match/474477.html,94,22,0
