,Opposition,Inns,Score,Prev1,Prev2,Prev3,fow_wicket,fow_overs
0,Sri Lanka,I1,S2,P1,P1,P1,FW0,FO0
1,Sri Lanka,I2,S1,P2,P1,P1,FW0,FO0
2,Sri Lanka,I1,S1,P1,P2,P1,FW5,FO3
3,Pakistan,I2,S1,P1,P1,P2,FW2,FO1
4,West Indies,I2,S2,P1,P1,P1,FW2,FO0
5,Australia,I2,S1,P2,P1,P1,FW2,FO1
6,Australia,I2,S1,P1,P2,P1,FW1,FO0
7,Sri Lanka,I1,S1,P1,P1,P2,FW5,FO3
8,Sri Lanka,I1,S2,P1,P1,P1,FW2,FO0
9,Sri Lanka,I2,S2,P2,P1,P1,FW2,FO0
10,Sri Lanka,I1,S1,P2,P2,P1,FW1,FO0
11,Bangladesh,I2,S2,P1,P2,P2,FW1,FO0
12,Sri Lanka,I2,S2,P2,P1,P2,FW1,FO1
13,Bangladesh,I2,S2,P2,P2,P1,FW1,FO1
14,Sri Lanka,I1,S1,P2,P2,P2,FW1,FO0
15,South Africa,I1,S1,P1,P2,P2,FW3,FO1
16,South Africa,I2,S2,P1,P1,P2,FW1,FO0
17,Zimbabwe,I1,S1,P2,P1,P1,FW1,FO1
18,Sri Lanka,I2,S2,P1,P2,P1,FW1,FO0
19,Zimbabwe,I1,S1,P2,P1,P2,FW1,FO1
20,Sri Lanka,I1,S2,P1,P2,P1,FW1,FO0
21,Bangladesh,I2,S1,P2,P1,P2,FW1,FO0
22,Pakistan,I2,S1,P1,P2,P1,FW1,FO1
23,Sri Lanka,I1,S1,P1,P1,P2,FW1,FO1
24,Sri Lanka,I1,S1,P1,P1,P1,FW1,FO0
25,Sri Lanka,I2,S1,P1,P1,P1,FW1,FO1
26,New Zealand,I1,S1,P1,P1,P1,FW1,FO0
27,Sri Lanka,I2,S1,P1,P1,P1,FW1,FO0
28,Australia,I2,S2,P1,P1,P1,FW1,FO0
29,New Zealand,I1,S2,P2,P1,P1,FW1,FO1
30,New Zealand,I2,S2,P2,P2,P1,FW1,FO1
31,New Zealand,I2,S2,P2,P2,P2,FW1,FO1
32,New Zealand,I2,S1,P2,P2,P2,FW1,FO1
33,New Zealand,I2,S1,P1,P2,P2,FW1,FO0
34,South Africa,I2,S2,P1,P1,P2,FW1,FO0
35,South Africa,I1,S1,P2,P1,P1,FW1,FO1
36,South Africa,I2,S1,P1,P2,P1,FW1,FO0
37,South Africa,I2,S2,P1,P1,P2,FW1,FO0
38,South Africa,I2,S1,P2,P1,P1,FW1,FO0
39,Bangladesh,I1,S2,P1,P2,P1,FW2,FO2
40,England,I1,S1,P2,P1,P2,FW5,FO3
41,Ireland,I2,S1,P1,P2,P1,FW2,FO0
42,Netherlands,I2,S1,P1,P1,P2,FW3,FO1
43,South Africa,I1,S1,P1,P1,P1,FW5,FO3
44,West Indies,I1,S2,P1,P1,P1,FW1,FO0
45,Australia,I2,S1,P2,P1,P1,FW2,FO1
46,Pakistan,I1,S1,P1,P2,P1,FW2,FO1
47,Sri Lanka,I2,S1,P1,P1,P2,FW2,FO0
48,West Indies,I2,S1,P1,P1,P1,FW1,FO0
49,West Indies,I2,S2,P1,P1,P1,FW1,FO0
50,West Indies,I2,S1,P2,P1,P1,FW1,FO1
51,West Indies,I2,S1,P1,P2,P1,FW1,FO0
52,West Indies,I1,S2,P1,P1,P2,FW1,FO0
53,England,I1,S2,P2,P1,P1,FW2,FO1
54,England,I1,S1,P2,P2,P1,FW2,FO1
55,England,I1,S1,P1,P2,P2,FW2,FO0
56,England,I1,S1,P1,P1,P2,FW2,FO1
57,England,I1,S2,P1,P1,P1,FW2,FO1
58,England,I1,S1,P2,P1,P1,FW2,FO1
59,England,I2,S2,P1,P2,P1,FW2,FO0
60,England,I2,S1,P2,P1,P2,FW2,FO2
61,England,I2,S2,P1,P2,P1,FW2,FO1
62,England,I1,S1,P2,P1,P2,FW1,FO1
63,West Indies,I2,S1,P1,P2,P1,FW2,FO0
64,West Indies,I2,S2,P1,P1,P2,FW2,FO0
65,West Indies,I2,S1,P2,P1,P1,FW2,FO0
66,West Indies,I1,S1,P1,P2,P1,FW4,FO3
67,West Indies,I1,S2,P1,P1,P2,FW3,FO1
68,Australia,I2,S1,P2,P1,P1,FW1,FO0
